Proyecto,Módulo,Desarrollador,Líneas de código,Número de bugs,Tiempo de desarrollo (horas),Costo (USD),Satisfacción del cliente,Antigüedad del desarrollador (años),Idioma de programación,Plataforma,Tipo de proyecto,Fase del proyecto,Tamaño del equipo,Tecnologías
"Smith, Torres and Flowers",long,Patricia Ford,4227,39,375,84053,1,10,Java,Mobile,Application,Deployment,7,"professor, evidence, down"
Jordan and Sons,lose,Melissa Briggs,6124,37,132,82167,5,9,Kotlin,Mobile,Management System,Testing,10,"clear, rich, tend"
"Madden, Jackson and Keller",thousand,Alexander Spence,588,30,441,75204,3,7,Javascript,Mobile,Application,Deployment,10,"process, cut, debate"
Evans Group,table,Michael Porter,5796,17,87,32147,1,1,Kotlin,Mobile,Application,Design,1,"bank, management, those"
Pearson LLC,light,Andrew Gregory,3019,11,263,44998,2,5,Python,Desktop,Web site,Development,3,"you, visit, camera"
"Williams, Mckee and Kelley",audience,Jane Donovan,6300,41,353,61827,3,15,Kotlin,Mobile,Management System,Development,4,"among, together, eye"
"Harrison, Carroll and Barnett",attorney,Michael Fitzgerald,3932,36,420,6515,2,9,Kotlin,Mobile,Application,Testing,6,"popular, almost, hour"
Bean-Payne,decide,Jessica Williams,514,28,102,20075,1,2,Kotlin,Mobile,Application,Deployment,4,"Democrat, establish, house"
Fitzpatrick and Sons,small,Steven Allen,4928,9,341,4663,2,5,Kotlin,Mobile,Web site,Deployment,2,"down, consumer, song"
Ray-Arnold,term,Deborah Davis,3378,14,208,50665,5,2,Java,Desktop,Web site,Development,1,"fall, major, arm"
Palmer PLC,age,Zachary Johnson,5477,38,142,72981,1,5,Javascript,Mobile,Web site,Development,8,"single, learn, development"
Anderson Inc,girl,Vanessa Richardson,2954,41,361,72263,2,8,Kotlin,Mobile,Application,Development,3,"society, machine, value"
Valentine-Myers,ground,Mr. Alvin Gardner DVM,2040,47,396,28246,1,14,Python,Mobile,Web site,Design,6,"provide, drop, fall"
"Armstrong, Hudson and Dunn",medical,Brandon Martin,6390,13,178,9107,1,2,Javascript,Desktop,Management System,Development,10,"someone, today, hand"
Smith and Sons,never,Douglas Moore,9163,22,259,50158,5,7,Kotlin,Mobile,Web site,Design,10,"region, and, several"
Barnes and Sons,remember,Joshua Mosley,3330,8,82,33327,5,10,Java,Mobile,Management System,Testing,1,"threat, hold, time"
Watson Inc,kind,Scott Mcmahon,1487,36,110,49796,5,14,Javascript,Web,Management System,Design,2,"deep, later, camera"
Allen Ltd,performance,Renee Chung,3057,21,176,70016,3,3,Java,Web,Web site,Testing,3,"thus, reveal, central"
Simmons and Sons,end,Kathleen Schneider,5277,4,428,27642,4,14,Python,Web,Web site,Design,5,"guy, star, although"
Duncan Group,now,Jennifer Berry,1074,33,473,79586,2,10,Java,Mobile,Application,Design,7,"sell, audience, produce"
Vaughan Inc,describe,Joseph Sutton,2238,31,305,26512,2,2,Kotlin,Web,Application,Design,3,"anything, such, because"
Moore Group,vote,Ashley Smith,5463,0,387,90816,4,12,Kotlin,Desktop,Web site,Development,7,"second, management, enough"
Payne and Sons,tax,Trevor Gibson,7553,9,201,95320,5,10,Python,Mobile,Management System,Development,9,"customer, pretty, hit"
Jackson-Palmer,west,James Underwood,6425,34,124,36988,3,9,Java,Desktop,Web site,Development,6,"again, agreement, summer"
Collier-Hunter,news,Charles Gonzalez,1933,47,277,81342,3,1,Java,Desktop,Application,Development,5,"worker, score, well"
"Morales, Porter and Wilson",but,Scott Cervantes,5673,24,274,46439,5,9,Kotlin,Web,Management System,Development,6,"make, business, figure"
Perez Ltd,father,Pamela Villarreal,4811,36,281,28183,2,9,Python,Desktop,Application,Development,3,"hair, ground, than"
"Jackson, Le and Hernandez",fact,Jessica Ibarra,2375,43,228,40023,4,4,Java,Web,Management System,Development,5,"necessary, hand, perhaps"
Garcia-Valentine,guess,Heather Adams,2565,27,432,94713,4,5,Javascript,Web,Management System,Design,4,"blue, again, less"
Moore-Case,player,Luis Rojas,3252,14,432,49613,3,10,Java,Web,Web site,Development,5,"blood, again, other"
"Crawford, Hart and Roberts",performance,Shane Rivera,873,5,479,20855,1,9,Kotlin,Mobile,Web site,Testing,10,"officer, network, a"
Fitzgerald Ltd,major,Madison Munoz,721,2,250,3852,2,13,Java,Desktop,Management System,Testing,4,"size, can, movie"
Krueger Group,son,Doris Lozano,3319,7,219,56401,3,9,Python,Web,Management System,Design,8,"than, billion, work"
"Taylor, Alvarado and Hayes",reach,Alexis Palmer,3681,20,76,75540,3,7,Javascript,Web,Web site,Deployment,7,"little, compare, television"
"Sanchez, Ball and Foster",born,Christopher Rice,3248,19,130,90501,1,13,Kotlin,Desktop,Management System,Design,10,"man, experience, deep"
Wong-Torres,purpose,Amanda Coleman MD,4340,1,391,11270,2,12,Kotlin,Desktop,Application,Testing,7,"catch, church, agency"
Franklin-Hernandez,also,Matthew Fuller,1796,26,80,54593,2,9,Kotlin,Mobile,Management System,Deployment,7,"throughout, method, tough"
Hill-Underwood,forget,Melissa Harrison,6283,31,76,88085,3,10,Javascript,Web,Web site,Design,6,"keep, important, vote"
"Bell, Gillespie and Spencer",model,Cynthia Nelson,4967,11,279,85074,4,10,Python,Desktop,Web site,Design,6,"stuff, type, must"
Jones-Chase,trial,Haley Griffin,7029,45,340,10021,1,11,Python,Web,Management System,Design,6,"expect, quality, inside"
Mendoza Ltd,red,Melissa Haas,2845,20,485,24482,3,7,Javascript,Mobile,Application,Development,8,"agreement, possible, available"
"Wilson, Le and Williams",cell,Jonathon Turner,5726,37,31,34127,1,13,Javascript,Desktop,Web site,Design,2,"worry, nice, somebody"
Montes-Day,military,John Levy,4084,34,118,15087,2,5,Java,Web,Web site,Deployment,9,"learn, quality, right"
Briggs-Green,thus,Jennifer Diaz,8428,1,467,93694,4,2,Python,Mobile,Web site,Deployment,6,"deal, fine, result"
